timestamp,mode,burner_cmd,load_factor,door_open,fan_cmd,SP_Zone_01,T_Zone_01,T_Load_01,T_Zone_01_true,T_Load_01_true,SP_Zone_02,T_Zone_02,T_Load_02,T_Zone_02_true,T_Load_02_true,SP_Zone_03,T_Zone_03,T_Load_03,T_Zone_03_true,T_Load_03_true,P_Draft,P_Draft_true,T_Zone_01_error,T_Load_01_error,T_Zone_02_error,T_Load_02_error,T_Zone_03_error,T_Load_03_error,P_Draft_error,T_Zone_01_quality,T_Load_01_quality,T_Zone_02_quality,T_Load_02_quality,T_Zone_03_quality,T_Load_03_quality,P_Draft_quality
2026-01-01 00:00:00,warmup,0.45,0.8238286458903668,0,0.7535154036473304,58.0,52.006145743192455,52.94049573102426,53.0,53.0,58.0,51.87133872411547,52.943158957374344,53.0,53.0,58.0,55.07408715035964,54.361630060833434,53.0,53.0,-17.989249192602653,-18.0,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:01:00,warmup,0.45068115942028986,0.8629132179674188,0,0.7642075438933469,59.10434782608696,52.26696450544865,51.19310855318728,53.854808130634346,52.197937166344026,59.220289855072465,53.014395830945816,54.20404509086314,53.01885499937566,53.03367578045275,59.33623188405797,52.04455264806274,52.761801583036714,52.30562365090735,52.86618658396198,-19.07532783348575,-19.58797961618184,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:02:00,warmup,0.4513623188405797,0.841508026268534,0,0.7359323761573118,60.208695652173915,56.53568812723272,54.377841277402766,55.46375956538685,51.88377759001364,60.44057971014493,57.21495713853245,54.43613836071835,54.05477323252869,53.4099724020981,60.67246376811594,52.58156255024542,52.259966732703774,52.06967507035809,52.8370662494377,-20.19781613177309,-20.156788158948434,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:03:00,warmup,0.4520434782608696,0.8157334622737739,0,0.7326319241495016,61.313043478260866,57.324454457591344,51.7450281987468,57.60867049080634,51.738343694565835,61.66086956521739,56.67550399234667,53.309049138896015,55.501327279501226,53.907416663396326,62.00869565217391,54.4507852020584,52.51309426643069,53.03133942375399,52.94681382624972,-20.740821926038205,-20.656305838018714,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:04:00,warmup,0.45272463768115945,0.8558926398104864,0,0.7500546518438265,62.417391304347824,61.61793412032912,50.53612248884667,59.69319231760914,51.47600989409799,62.881159420289855,57.142527774007185,54.224593074348036,57.313858220392966,54.719799109784056,63.344927536231886,54.26199092703794,53.0700238443025,53.981866359698216,53.195673163928916,-21.52900480992312,-21.322011490595347,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:05:00,warmup,0.4534057971014493,0.772132674404216,0,0.7877939711150541,63.52173913043478,60.04113901273666,51.34604848862273,62.14501357825026,50.85465186953991,64.10144927536231,58.881192218992304,56.703573408615014,58.88326955579005,55.5130915588744,64.68115942028986,52.90056990824367,53.31701784191004,54.04319617317983,53.58623688451168,-22.056439472912757,-21.82081664046259,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:06:00,warmup,0.45408695652173914,0.9287009880375259,0,0.748898861740245,64.62608695652173,63.58280687542091,51.629968322426066,63.4498624412327,50.26208008826244,65.32173913043478,61.19634713718632,55.04782563177077,58.949103572751405,56.20871445765311,66.01739130434783,53.547769044279065,55.49294047477523,54.36236750150937,54.3052713765634,-22.57527580913491,-22.069978995185878,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:07:00,warmup,0.454768115942029,0.7698026499579997,0,0.7562685883381176,65.7304347826087,62.86376440493459,49.5355903246154,64.08822766128117,49.964578085024705,66.54202898550724,55.701184512986615,58.5107136078464,59.050064605154915,57.499415887035,67.35362318840579,58.35929750923799,57.65592963643138,56.00142697219812,55.19842790808594,-22.389594398483624,-22.135673138702163,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:08:00,warmup,0.45544927536231883,0.8536166497244352,0,0.7486236518273601,66.83478260869565,65.42803148418807,51.013461933475455,65.11401151880777,50.3751396147774,67.76231884057971,53.438139430843144,58.356243799611576,58.84143972288366,58.186875476728716,68.68985507246377,54.29836751192483,55.83180901580154,57.4121662713996,56.063134674514835,-22.007699610259085,-21.90054512577866,none,none,none,none,none,none,none,good,good,good,good,good,good,good
2026-01-01 00:09:00,warmup,0.45613043478260873,0.8756013626067775,0,0.7217583557920128,67.93913043478261,65.94693462588471,51.608211210191115,66.48406188584148,51.34261223582184,68.98260869565217,59.552745172320776,60.9405622996854,60.22924520487241,59.15504724647053,70.02608695652174,59.34284170674785,58.49194510036576,59.39717387985234,57.00724952306092,-22.521444327348586,-21.729493923785117,none,none,none,none,none,none,none,good,good,good,good,good,good,good
